,Producto,Marca,Cantidad,Calorias (kcal),Grasa (g),Carbohidrato (g),Proteina (g)
67,Atún Desmenuzado al Natural,Gomes da Costa,por 3 cucharadas de sopa (60g) ,41,0.6,0.0,8.9
68,Atún en Trozos en Aceite con Caldo Vegetal,Puglisi,por 3 cucharas soperas (60g) ,92,3.8,0.0,15.0
69,Atún al Natural,La Anónima,por 3 cucharadas de sopa (60g) ,76,2.0,0.0,15.0
70,Lomitos de Atún al Natural,Noel,por 3 cucharas de sopa (60g) ,60,0.5,0.0,15.0
71,Atún Desmenuzado al Natural,Carrefour,por 3 cucharadas (60g) ,46,0.7,2.4,7.4
72,Ensalada de Macarrones u Otra Pasta con Atún,,por 1 taza ,335,16.18,34.5,12.51
73,Atún Desmenuzado en Aceite y Agua,,por 3 cucharas de sopa (60g) ,100,5.0,0.0,13.0
74,Caballa en Aceite y Agua,La Campagnola,por 3 cucharadas de sopa (60g) ,172,14.0,0.0,12.0
75,Aceto Balsámico Tipo Reducción,Casalta,por 1 cuchara de sopa (10ml) ,27,0.0,6.5,0.0
76,Aceto Balsámico,Casalta,por 1 cuchara de sopa (10ml) ,11,0.0,2.5,0.0
77,Pan con Salvado,La Cabaña,por 2 rebanadas (48g) ,126,1.6,23.0,4.8
78,Crema de Leche,La Cabaña,por 1 porción (15ml) ,60,6.4,0.3,0.3
79,Jamon Cocido,Cabaña Argentina,por 2 fetas (40g) ,41,1.2,1.7,5.8
80,Dulce de Frambuesa,Cabaña Mico,por 1 cucharada sopera (20g) ,58,0.0,14.2,0.0
81,Manteca,La Cabaña,por 1 cucharada sopera (10g) ,74,8.2,0.0,0.0
82,Fiambre de Cerdo Cocido,Cabaña Argentina,por 2 fetas (40g) ,47,2.2,2.2,4.5
83,Dulce de Mosqueta,Cabaña Mico,por 1 cucharada  (20g) ,55,0.0,13.7,0.0
84,Gelatina de Pata,Paty,por 1 porción ,60,0.1,13.36,1.4
85,Arroz con Pato,Paty,por 1 plato ,421,10.51,60.07,18.69
86,Pata de Res,Paty,por 100 g ,152,5.75,0.0,23.42
87,Pato Asado‎ (sin Comer la Piel),Swift,por 100 g ,200,11.15,0.0,23.38
88,Paty 72,Swift,por 1 hamburguesa (72g) ,181,14.0,0.0,13.0
89,Paty Express,Bocatti,por 1 medallón (69g) ,199,17.0,0.0,12.0
90,Paty con Cebolla,,por 100g ,251,18.0,4.7,17.0
91,Pate Jamon Ahumado,,por 1 cucharada de té (10g) ,27,2.6,0.0,0.8
92,Pate de Foie,,por 1 cucharada de te (10g) ,22,2.0,0.0,1.0
93,Pate al Champignon,,por 1 cuchara de té (10g) ,33,3.1,0.0,1.3
94,Tomates Peritas ,Arcor,por 1/2 taza de té (130g) ,23,0.0,4.5,0.9
95,Salchicha o Perro Caliente con Salsa de Tomate y / o Mostaza,,por 1 salchicha en pan ,284,16.59,22.85,10.24
96,Salsa de Soya Reducida de Sodio,Vanoli,por 1 cucharada ,8,0.01,1.36,0.83
97,Salsa Fileto Light,Knorr,por 1 cucharada de sopa (60g) ,13,0.0,2.5,0.6
98,Salsa Lista Bolognesa,Aguila,por 3 cucharadas de sopa (60g) ,20,0.0,3.8,1.1
99,Nut Sabor Avellana,Knorr,por 100g ,535,33.0,52.0,8.0
100,Mostacholes con Salsa Napolitana,Molto,por 1 plato hondo (73g) ,251,1.7,51.0,7.6
101,"Pollo o Pavo y Verduras en Salsa de Soja (Incluyendo Zanahorias y Brócoli, sin Papas)",Knorr,por 1 taza ,180,8.59,9.28,15.86
102,Salsa Pizza,Benidorm,por 1 porción  (60g) ,26,0.0,5.2,0.0
103,Salsa Lista Pizza,,por 3 cucharadas de sopa (60g) ,16,0.0,3.4,0.6
104,Salsa de Soja (Tamari),,por 1 cucharada ,11,0.02,1.0,1.89
105,Salsa Golf,,por 1 cucharada (12g) ,34,3.2,1.2,0.0
106,Milanesas de Choclo,San Silvestre,por 1 milanesa (80g) ,153,0.0,34.0,4.3
107,Granos de Choclo Amarillo Enteros,Caracas ,por 1 porción (130g) ,107,1.6,19.0,3.8
108,Choclo,Best,por 1 taza de te  (130g) ,52,0.0,11.0,2.1
109,Choclo Amarillo Entero,Noel,por 1/2 taza de té (130g) ,77,3.3,11.0,3.3
110,Choclo en Granos,Bahia,por 1 taza de té (130g) ,106,1.6,19.0,3.8
111,Sopa Quick Crema Choclo a la Manteca,Knorr,por 1 sobre (15g) ,57,1.6,9.8,0.8
112,Choclo Amarillo,Ciudad del Lago,por 100g ,54,1.0,8.2,3.1
113,Choclo,Canale,por 1/2 taza de té (130g) ,96,1.6,17.0,2.9
114,Choclo,Green Life,por 1/2 plato (130g) ,106,1.6,18.0,4.9
115,Choclo Blanco Tipo Cremoso,Ciudad del Lago,por 1 porción (116g) ,80,0.0,18.0,2.0
116,Arvejas Partidas,Olinto,por 1/2 taza (50g) ,156,0.0,28.0,11.0
117,Arvejas Secas Remojadas,La Colina,por 1/2 taza de té (130g) ,103,0.0,18.0,6.0
118,Arvejas,Cooperativa,por 1 taza de te (103g) ,100,1.1,16.0,6.4
119,Milanesas de Arvejas,Via Veg,por 1 unidad (110g) ,207,2.0,39.0,8.2
120,Torrejas de Arvejas con Espinaca,Molé,por 1/4 paquete (50g) ,141,1.8,26.0,5.0
121,Arvejas ,La Banda,por 1 taza de té (130g) ,129,0.6,23.0,7.8
122,Arvejas,Great Value,por 1 taza de té (130g) ,122,0.0,21.0,9.5
123,Arvejas sin Sal,Cooperativa,por 1/2 lata (130g) ,64,0.0,12.0,4.0
124,Arvejas,Carrefour,por 1 porción (130g) ,142,0.7,25.0,8.7
125,Fusilli de Arveja,Makarona,por 1 plato (80g) ,256,0.0,46.0,18.0
126,Veggies Lentejas y Arroz Yamaní,Granja del Sol,por 1 hamburguesa (105g) ,182,0.9,35.0,9.0
127,Lentejas,Morixe,por 1/2 taza (60g) ,170,0.6,28.0,13.0
128,Lentejas,Marolio,por 1/2 taza de té (60g) ,210,0.7,36.0,15.0
129,Lentejas,Mister Food,por 1/2 taza (60g) ,142,0.7,18.0,16.0
130,Lentejas con Arroz,Ciudad del Lago,por 1 plato ,445,16.47,60.48,14.49
131,Lentejas Secas Remojadas,Primer Precio,por 1 taza de té (130g) ,102,0.0,18.0,7.5
132,Lentejas,Primer Precio,por 1 porción (130g) ,103,0.0,18.0,7.5
133,Lentejas Secas ,Verizzia,por 1 taza de té (60g) ,194,0.0,32.0,16.0
134,Lentejas,Arcor,por 1 porción (60g) ,173,0.6,28.0,14.0
135,Lentejas,,por 100g ,85,0.0,13.0,7.8
136,Porotos,Doña Pupa,por 1 taza (130g) ,129,1.0,19.0,11.0
137,Porotos,Jumbo,por 1/2 taza de té (60g) ,152,0.6,22.0,14.0
138,Porotos con Riendas,Wakas,por 1 taza ,434,13.21,61.11,20.05
139,Pasta de Legumbres Poroto,Alco,por 100g ,379,4.0,62.0,24.0
140,Porotos,Elio,por 1/2 taza (130g) ,109,0.0,21.0,5.0
141,Porotos Alubia,COTO,por 1/2 taza (60g) ,157,0.5,44.0,14.0
142,Porotos Negros,La Egipciana,por 1/4 taza de té (60g) ,209,1.0,35.0,15.0
143,Porotos Colorados,Carrefour,por 1 porción (60g) ,210,0.9,34.0,16.0
144,Porotos Alubia ,Sytari,por 1/2 taza de té (60g) ,152,0.6,22.0,14.0
145,Porotos Bolita,,por 1 taza de té (60g) ,152,1.0,24.0,12.0
146,Harina de Garbanzo,Makarona,por 100 g ,387,6.69,57.82,22.39
147,Fideos de Garbanzo,Nutrileza,por 1 plato (80g) ,279,6.0,32.0,24.0
148,"Hamburguesa Orégano, Garbanzo y Mostaza ",La Egipciana,por 1 unidad  (90g) ,88,0.0,18.0,4.0
149,Arvejas Partidas,Ramoneda,por 1/2 taza (60g) ,205,0.6,37.0,13.0
150,Garbanzos,Alco,por 1/2 taza (60g) ,215,3.0,36.0,12.0
151,Garbanzos,Makarona,por 1 porción (130g) ,155,2.6,25.0,7.8
152,Fusilli De Garbanzo,Carrefour,por 1 plato (80g) ,274,6.0,43.0,13.0
153,Porotos Secos Remojados,Doña Pupa,por 1/2 taza de té (130g) ,106,0.0,19.0,8.0
154,Jardinera,Okey,por 1 taza de producto escurrido (130g) ,98,0.0,20.0,4.6
155,Garbanzos,,por 1 porción (130g) ,146,2.7,22.0,8.5
156,Arvejas,La Campagnola,por 100g ,110,0.5,20.0,6.3
157,Porotos con Mazamorra,Carrefour,por 100 g ,107,3.16,16.95,4.67
158,Fabada,San Remo,por 100 g ,162,8.84,14.94,6.37
159,Vainicas,Egran,por 100 g ,31,0.12,7.13,1.82
160,Chifrijo,,por 1 taza ,361,9.02,50.18,19.26
161,Soja Texturizada,,por 100 g ,330,1.22,38.37,47.01
162,Arroz con Habichuela,,por 100 g ,140,5.1,20.9,2.53
163,Garbanzos Secos Remojados,,por 1 taza de té (130g) ,115,2.3,17.0,6.6
164,Porotos,,por 1/2 taza de té (130g) ,115,1.0,19.0,11.0
165,Porotos Bolita,,por 1/2 taza de té (60g) ,155,1.0,24.0,12.0
166,Cazuela de Atún con Verduras y Crema de Champiñones,Knorr,por 1 taza ,381,19.13,22.02,29.25
167,Caldo de Pescado,Knorr,por 1 taza ,39,1.46,0.98,4.88
168,Sopa de Tomate (Preparada con Agua),,por 1 taza ,76,0.71,16.84,2.03
169,Porotos con Tallarines,,por 1 taza ,256,7.85,38.22,9.62
170,Quick Consome con Cubitos de Pan Tostado,,por 1 sobre (11g) ,42,1.7,6.0,0.8
171,Sopa Wantán,,por 1 taza ,181,7.06,14.24,14.17
172,Menudo,,por 1 taza ,104,4.63,9.37,6.36
173,"Gumbo (Tipo New Orleans con Mariscos, Carne de Cerdo y / o Aves de Corral, Tomates y Quimbombó)",,por 1 taza ,178,8.39,11.1,14.57
174,Caldo de Verduras Light sin Calorias,,por 1 sobre (3g) ,0,0.0,0.0,0.0
175,Sopa de Miso,,por 1 taza ,84,3.36,7.78,6.02
176,Relleno Mezcla para Chocotorta,La Serenísima,por 1 cuchara de sopa (20g) ,45,1.4,7.2,0.9
