,Producto,Marca,Cantidad(g),Caloria(kcal),Grasa(g),Carbohidrato(g),Proteina(g)
70,Barra de Arroz con Semillas Yogurt Sabor Frutilla,Lulemuu,20 ,59,3.3,6.7,1.7
71,Milanesa de Soja Rellena con Espinaca y Queso,Paladini,95 ,190,5.3,22.0,14.0
72,Yogur Sabor Natural Endulzado con Azúcar de Caña,Yogurísimo,200 ,190,3.8,24.0,15.0
73,Oblea Rellena con Pasta de Turrón y Maní,Arcor,25 ,98,2.0,18.0,1.7
74,"Galletitas con Semillas de Sésamo, Amaranto y Girasol",Frutigran,30 ,136,5.1,20.0,2.4
75,Milanesa de Soja Rellena con Espinaca y Queso,Dia,85 ,206,4.0,34.0,9.0
76,Galletitas Dulces con Pasas de Arándanos y Chocolate ,Alunt,30 ,123,3.0,21.0,3.0
77,Milanesa de Soja Rellena con Espinaca y Queso,Frizata,95 ,189,5.0,22.0,14.0
78,Fideos Integrales con Mijo y Germen de Trigo,Lilen,por 100 ,278,1.6,71.0,10.0
79,Medallones de Carne Vacuna Preparados Como Milanesa Supercongelados,Paty,130 ,270,11.0,26.0,16.0
80,Lomitos de Atún en Aceite y Agua,Great Value,60 ,67,1.2,0.0,14.0
81,Medallón de Quinoa con Batata y Curry,Nutree,100 ,170,4.2,29.3,4.3
82,Lomitos de Atún en Aceite y Agua,Marolio,60 ,67,1.2,0.0,14.0
83,"Mix de Semillas Chia, Sésamo y Lino",Sturla,15 ,14,1.2,0.0,0.6
84,Galletas de Cereales Inflados Multicereal sin Sal,Grandiet,30 ,111,1.05,22.4,3.2
85,Alfajorcitos de Arroz con Relleno Sabor Limón,Arrocitas,30 ,144,6.2,18.0,1.1
86,Tableta Rellena Con Helado De Crema Americana,Freddo,50 ,147,9.5,13.0,2.3
87,Lomitos de Atún en Aceite y Agua,Cuisine & Co,60 ,196,10.0,0.0,25.0
88,Aritos de Arroz Sabor Crema con Cebolla ,Dos Hermanos,por 100 ,403,11.0,69.0,5.6
89,Barra de Semillas y Arándanos sin TACC,Integra,27 ,94,5.4,7.2,4.0
90,Galletas de Arroz Integral Yamani sin Sal,Arrocitas,26 ,96,0.9,20.5,2.5
91,Yerba Mate con Mezcla de Hierbas Serranas,Cachamate,50 ,7,0.0,1.8,0.0
92,Barra de Cereales con Frutilla y Yogur,Farmacity,25 ,110,3.6,17.0,1.2
93,Barra de Cereal Frutillas con Crema (25g),Quaker,25 ,85,1.9,15.0,1.4
94,Barra de Cereales con Cacao y Yogur,Farmacity,25 ,114,4.6,16.5,1.6
95,Barra de Cereal Frutillas con Crema (30g),Quaker,30 ,106,2.5,19.0,1.9
96,Barra de Cereal con Frutos del Bosque,Royal,23 ,87,1.2,18.0,1.1
97,Barra de Cereal Light Manzana y Durazno,3 Arroyos,21 ,55,0.6,16.0,0.9
98,"Medallón Lentejas, Zanahoria y Semillas de Girasol ",Green Life,80 ,76,0.0,12.0,7.1
99,Medallones de Merluza con Soja y Arroz,Dia,130 ,240,8.6,27.0,14.0
100,Sopa Familiar Vegetales con Fideos de Letras,Knorr,22 ,71,0.0,14.0,2.6
101,Alfajor de Arroz Extra Mousse Sabor Marroc,Vauquita,28 ,130,6.0,17.0,2.1
102,Sopa Crema de Arvejas con Chile Chipotle,Knorr,16 ,44,0.6,6.8,3.0
103,Yogur Tipo Suizo con Confitura de Frutilla,Milkaut,120 ,134,3.7,21.0,4.2
104,Pizza Vegana de Brocoli y Tomates Secos,The Healthy Kitchen,por 100 ,158,3.0,29.2,3.5
105,Mini Croissant Relleno con Dulce de Leche,Dia,40 ,140,5.7,20.0,2.3
